,name,price,discount,rating,bank,total_review
438,Lenovo V15 AMD Ryzen 7 Octa Core 7th Gen 7730U - (16 GB/512 GB SSD/Windows 11 Home) 83CRA01SIN Thin an...,"₹44,980",44% off,5,Bank Offer,6 Ratings & 0 Reviews
439,Lenovo IdeaPad 3 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) 14IAU7 Thin and Lig...,"₹34,990",39% off,4.2,Top Discount of the Sale,"1,905 Ratings & 101 Reviews"
440,ASUS TUF Gaming A15 (2025) AMD Ryzen 7 Hexa Core 7445HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graph...,"₹65,990",23% off,3.7,Bank Offer,9 Ratings & 0 Reviews
441,HP AMD Ryzen 5 Quad Core - (8 GB/512 GB SSD/Windows 11 Home) 14-em0026AU Thin and Light Laptop,"₹46,199",30% off,,Bank Offer,
442,ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ5542WS ...,"₹37,579",32% off,4.2,Top Discount of the Sale,623 Ratings & 32 Reviews
443,"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i3 13th Gen 1315U...","₹32,990",34% off,4.3,Top Discount of the Sale,"1,855 Ratings & 121 Reviews"
444,Apple Apple M3 - (16 GB/256 GB SSD/macOS Sequoia) MC8G4HN/A,"₹84,990",26% off,4.6,Top Discount of the Sale,622 Ratings & 41 Reviews
445,MSI Modern 15 Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) Modern 15 B13M-883IN Th...,"₹30,990",40% off,4,Top Discount of the Sale,33 Ratings & 1 Reviews
446,"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Intel Core i3 13th Gen 1315U - (8 GB/512 GB SS...","₹32,990",36% off,4.3,Top Discount of the Sale,"1,855 Ratings & 121 Reviews"
447,MSI Thin A15 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,"₹47,990",34% off,4.3,Top Discount of the Sale,344 Ratings & 33 Reviews
448,ASUS Vivobook Go 14 (2025) with Office 2024 + M365 Basic* AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB ...,"₹37,990",28% off,4.2,Upto,"2,472 Ratings & 162 Reviews"
449,Apple MacBook Air Apple M3 - (8 GB/512 GB SSD/macOS Sonoma) MRXP3HN/A,"₹86,990",30% off,4.7,Upto,431 Ratings & 23 Reviews
450,Apple MacBook Air Apple M3 - (16 GB/512 GB SSD/macOS Sonoma) MXCR3HN/A,"₹1,09,990",18% off,4.7,Top Discount of the Sale,431 Ratings & 23 Reviews
451,DELL G7 Intel Core i9 10th Gen 10885H - (16 GB/1 TB SSD/Windows 10 Home/8 GB Graphics/NVIDIA GeForce R...,"₹89,990",60% off,4,Top Discount of the Sale,43 Ratings & 7 Reviews
452,"DELL Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) Vostro 3530,Vostro 3530 RPL Thin...","₹32,990",29% off,4.1,Top Discount of the Sale,355 Ratings & 13 Reviews
453,"ASUS Vivobook 14 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i3 13th Gen 1315U...","₹32,990",35% off,4.3,Top Discount of the Sale,"1,855 Ratings & 121 Reviews"
454,MSI Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C12MO-1400IN Business L...,"₹38,990",30% off,4.4,Top Discount of the Sale,336 Ratings & 33 Reviews
455,MSI Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12MO-1299IN Thin and ...,"₹40,990",30% off,4.3,Top Discount of the Sale,"1,599 Ratings & 156 Reviews"
